Artist,Track
 Daddy Lumba,Merensei Da
 Daddy Lumba,Ye Nea Woho Beto Wo
 Barakah The Prince,Nivumilie
 Amakye Dede,Sufre Wo Nyame
 Free Beats Instrumentals,Amapiano Beat 2
 Amakye Dede,Bebrebe Yi
 Amakye Dede,Akwadaa Wesoa
 PALLASO,MAMA
 Ricky melodies ( Nzele godfather),Ache Akimidzichenda ( Mali Safi)
 Beats,Smooth Hip Hop Beat
 Eddy Kenzo,Mbakooye
 Beats,Unique HipHop Beat
 Obuoba J,Mix Vol.1
 Ricky melodies ( Nzele godfather),Ana Bulu
 Ricky melodies ( Nzele godfather),Napola nawe
 Ricky melodies ( Nzele godfather),Nahenzwa
 OBEAT ke,Afro-pop Instrumental @proverdozke
 Ricky melodies ( Nzele godfather),My Only One
 Ricky melodies ( Nzele godfather),Sikuricha
 Beats,Genge Noma Beat Sample
 Ricky melodies ( Nzele godfather),Kilifi Raha
 Jim Riggz,Bwana u sehemu yangu
 Susumila,mapepe
 Ricky melodies ( Nzele godfather),Ndaloga mutu
 Beats,Dope HIPHOP GANGTA Beat
 Ricky melodies ( Nzele godfather),Mchangu
 Justino Ubakka,Ele Não Te Merece
 Beats,Kapuka Wazim
 Samkeystar,Wife Material
 2Baba (aka 2Face Idibia),Free feat. Ehi Idibia
 Beats,XLN INSTRUNMENTAL
 Fille official uganda,ITS NOT ABOUT MONEY
 Ricky melodies ( Nzele godfather),Unanimanyirira
 Ricky melodies ( Nzele godfather),sharobaro wa Bamba
 Ricky melodies ( Nzele godfather),Bango Rifike Somali
 Matovu Samalie,Omukwano Gunyuma
 Ricky melodies ( Nzele godfather),NADEKA
 Destiny Obed,Mtetezi Wangu
 Ricky melodies ( Nzele godfather),Be My Valentine
 Geosteady,Owooma ft. Charley & Nina From Rwanda
 Beats,LATINO
 Ricky melodies ( Nzele godfather),Namuricha Muche Yuyu
 Kelechi Africana,Kelechi Africana--Najirudi Song(Kubwa Studio--Produced by Lechi)
 SAFI RECORDS /ONE TOUCH RECORDS,BINADAMU WABAYA
 Radio and Weasel,Tubonge Nawe
 Jah Phinga,VIVI
 Jaydon EA,Nakupenda sana
 Peace And Love Burundi,Ndagukumbuye ft Faby Love
 Lil martin,weekend
 WAMUCHEMBE JNR,salome wangu instrumental diamond ft Raymond
 PALLASO,MAMA BULAMU
 2Baba (aka 2Face Idibia),Freedom Is Life
 PALLASO,Go Down Low
 Teddy Kalanda Harrison,JAMBO BWANA
 Hassan Nduga,Tudde Kunono
 Shakira Shakiraa,BWENTYO BWENDI
 Vanessa Mdee,Closer Remix Ft Ommy Dimpoz & Gosby
 BROWN MAUZO,Natamani
 Ricky melodies ( Nzele godfather),Unanimala Maneno
 Ricky melodies ( Nzele godfather),Nivumirira
 Ricky melodies ( Nzele godfather),Feelings Zaanza Before
 Beats,ECSTASY INSTRUNMENT
 Jeff power,Songi Songi_Rimix
 A Pass,TETUBATYA
 pilato,Ichashishita  Ft Chef 187
 Soggy Doggy Anter,Nilikaona mwaka jana feat. Suma lee
 Donah m,Mavumbavumba by donah m
 A Pass,Tulo
 Ricky melodies ( Nzele godfather),Ndatsonga Uha
 Tycon Master,Mwendo wa singeli
 Radio and Weasel,Mpanilira - Deena ft Radio&Weasel
 Azma Mponda,Astara Vaste (Am In Love) ft Belle 9
 Ricky melodies ( Nzele godfather),Muche Kiboma
 Ricky melodies ( Nzele godfather),Confusing
 Namesake,Inauma sana
 Samkeystar,Chaman
 Ricky melodies ( Nzele godfather),Leo paka milele
 A Pass,I Do Love You
 UNIC,mama yangu
 PALLASO,On Fire
 Fille official uganda,Gwe asinga ft Ray Signature
 Destiny Obed,Usirudi Nyuma
 Fille official uganda,Double Trouble
 FIVESTAR RECORDS,WEWE NDIO WANGU
 Ricky melodies ( Nzele godfather),Screenshot
 Ricky melodies ( Nzele godfather),Jay na Binti
 Peace And Love Burundi,Ntabundi Buhinga
 Samkeystar,Chumbaa
 Hassan Nduga,Muzeeyi Wumula
 Ricky melodies ( Nzele godfather),Richa Ukaha
 Free Beats download (beat bank international),cultural afrobeat instrumental
 Nero X,Osey
 Ricky melodies ( Nzele godfather),Bajaji
 Ricky melodies ( Nzele godfather),Roho ra Nyoga
 Samkeystar,Wegen Nyumbani
 Samkeystar,Mamae ra kwondo
 Dela,Te Le Mi feat. Adekunle Gold
 Juma Kakere,Shangwe ya Harusi
 Musaimo,Chai wa 14
 ODHIS JABOMAS/Ohangla Moto Moto Band,AMMILO NYAR NYAKACH
