EASY ON ME,ADELE
COLD HEART,ELTON JOHN & DUA LIPA
SHIVERS,ED SHEERAN
LOVE NWANTITI (AH AH AH),CKAY
HEAT WAVES,GLASS ANIMALS
OBSESSED WITH YOU,CENTRAL CEE
MY UNIVERSE,COLDPLAY & BTS
OUT OUT,JOEL CORRY/JAX JONES/XCX
BAD HABITS,ED SHEERAN
THATS WHAT I WANT,LIL NAS X
MY HEART GOES (LA DI DA),BECKY HILL & TOPIC
MEET ME AT OUR SPOT,ANXIETY/WILLOW/TYLER COLE
HAPPIER THAN EVER,BILLIE EILISH
WOMAN,DOJA CAT
MOTH TO A FLAME,SWEDISH HOUSE MAFIA/WEEKND
STAY,KID LAROI & JUSTIN BIEBER
RED LIGHT GREEN LIGHT,DIGGA D
GIRLS WANT GIRLS,DRAKE FT LIL BABY
BETTER DAYS,DERMOT KENNEDY
LOVE TONIGHT,SHOUSE
TELL ME SOMETHING GOOD,EWAN MCVICAR
KISS MY (UH OH),ANNE-MARIE & LITTLE MIX
BOYZ,JESY NELSON FT NICKI MINAJ
TAKE MY BREATH,WEEKND
24/5,MIMI WEBB
INDUSTRY BABY,LIL NAS X & JACK HARLOW
DRIVE,CLEAN BANDIT/TOPIC/WES NELSON
ALONE WITH YOU,ARZ
IF YOU REALLY LOVE ME (HOW WILL I KNOW),DAVID GUETTA/MISTAJAM/NEWMAN
2055,SLEEPY HALLOW
FAIR TRADE,DRAKE FT TRAVIS SCOTT
GOOD 4 U,OLIVIA RODRIGO
LIFE GOES ON,OLIVER TREE
REMEMBER,BECKY HILL & DAVID GUETTA
BLACK MAGIC,JONASU
HIGHER POWER,COLDPLAY
SEVENTEEN GOING UNDER,SAM FENDER
WAY 2 SEXY,DRAKE/YOUNG THUG/FUTURE
WHO YOU ARE,CRAIG DAVID & MNEK
LET SOMEBODY GO,COLDPLAY & SELENA GOMEZ
